Date,Open,High,Low,Close,Adj Close,Volume
16-09-2004,76.75,77,76.650002,76.809998,58.966148,136200
17-09-2004,76.800003,76.879997,76.5,76.610001,58.812607,156700
20-09-2004,76.720001,76.730003,76.25,76.610001,58.812607,206800
21-09-2004,76.349998,76.699997,75.699997,76.629997,58.827946,220000
22-09-2004,76.629997,76.68,75.769997,75.839996,58.221489,146400
23-09-2004,76.120003,76.599998,75.699997,76,58.344318,242700
24-09-2004,75.25,75.300003,75,75.050003,57.615009,222800
27-09-2004,74.169998,75,74.010002,74.059998,57.197964,437200
28-09-2004,73.599998,73.980003,73.300003,73.779999,56.981716,300200
29-09-2004,73.699997,73.949997,73.540001,73.910004,57.082123,186100
30-09-2004,76.150002,76.68,75.790001,76.379997,58.989731,276600
01-10-2004,76.879997,77.75,76.5,77.519997,59.870193,253200
04-10-2004,77.220001,77.75,77.120003,77.459999,59.823845,314200
05-10-2004,78.650002,78.709999,77.019997,77.209999,59.630764,319000
06-10-2004,77.129997,77.830002,77.129997,77.779999,60.070988,179800
07-10-2004,77.050003,77.139999,76.300003,76.300003,58.927963,219700
08-10-2004,77.760002,78.099998,77.360001,77.519997,59.870193,159800
11-10-2004,77.699997,78.349998,77.699997,78.050003,60.279518,158700
12-10-2004,76.75,76.75,76,76.440002,59.036098,237400
13-10-2004,75.779999,75.879997,75.209999,75.279999,58.14019,197800
14-10-2004,75.599998,75.779999,74.639999,74.779999,57.754028,269600
15-10-2004,75.199997,75.949997,75.059998,75.5,58.310104,158300
18-10-2004,75.849998,75.940002,75.459999,75.800003,58.541798,98800
19-10-2004,76,76.279999,75.75,75.830002,58.564976,246400
20-10-2004,75.389999,75.839996,75.389999,75.75,58.503162,277800
21-10-2004,75.5,75.949997,75.150002,75.760002,58.510891,219200
22-10-2004,75.760002,75.919998,75.18,75.25,58.117012,97900
25-10-2004,75.25,75.550003,75,75.389999,58.22514,108100
26-10-2004,74.550003,75.349998,74.489998,75.220001,58.093845,240700
27-10-2004,75.550003,76.730003,75.279999,76.720001,59.252323,238900
28-10-2004,76.5,77.25,76.120003,76.690002,59.229168,185800
29-10-2004,77.57,77.849998,77.300003,77.589996,59.924236,172600
01-11-2004,76.5,77.139999,76.43,76.949997,59.429974,287300
02-11-2004,76.300003,77.550003,76.25,77.089996,59.538078,286100
03-11-2004,77.75,77.989998,77.519997,77.699997,60.009201,364500
04-11-2004,77.769997,78.690002,77.559998,78.639999,60.735176,289000
05-11-2004,78.360001,79.160004,78.290001,78.610001,60.712002,272700
08-11-2004,77.32,78.040001,77.059998,77.639999,59.962879,345700
09-11-2004,77.639999,78.019997,77.410004,77.849998,60.125034,198800
10-11-2004,77.199997,77.209999,76.900002,76.970001,59.445412,389000
11-11-2004,76.370003,77.160004,76.300003,76.800003,59.314117,246300
12-11-2004,77.550003,78.489998,77.330002,78.239998,60.426239,234600
15-11-2004,79.5,79.5,78.769997,79.169998,61.144516,182400
16-11-2004,79.099998,79.099998,78.43,78.660004,60.750633,153000
17-11-2004,78.300003,79.389999,78.300003,79.07,61.067268,315900
18-11-2004,77.529999,77.879997,77.220001,77.599998,59.931976,337100
19-11-2004,77.830002,77.940002,77.099998,77.110001,59.553539,147100
22-11-2004,76.029999,76.230003,75.599998,76.230003,58.87389,231500
23-11-2004,75.800003,76.32,75.599998,75.849998,58.580418,148500
24-11-2004,76,76.230003,75.949997,76.089996,58.76577,131800
26-11-2004,76.290001,76.650002,76.290001,76.470001,59.059246,94500
29-11-2004,76.5,76.559998,75.970001,76.040001,58.727146,221900
30-11-2004,75.400002,75.400002,74.5,74.709999,57.699963,414400
01-12-2004,74.5,75.690002,74.470001,75.559998,58.356445,323800
02-12-2004,75.5,75.839996,75.5,75.57,58.364159,276100
03-12-2004,75.650002,75.970001,75.550003,75.910004,58.626759,180600
06-12-2004,75.220001,75.220001,74.660004,74.860001,57.815819,404500
07-12-2004,74.75,74.75,74.220001,74.230003,57.329269,251000
08-12-2004,75,75.050003,74.669998,75.019997,57.939373,183700
09-12-2004,74.379997,74.809998,73.760002,74.599998,57.615009,277900
10-12-2004,73.529999,75.150002,73.419998,74.919998,57.862137,784900
13-12-2004,74.650002,75.190002,74.419998,75,57.923939,382500
14-12-2004,75.970001,76.459999,75.580002,76.349998,58.966557,427400
15-12-2004,76.970001,77.120003,76.57,76.809998,59.321838,210300
16-12-2004,76.949997,77.029999,76.599998,76.82,59.329536,228700
17-12-2004,77.07,77.290001,77.050003,77.110001,59.553539,168700
20-12-2004,77.25,77.949997,77.25,77.650002,59.970577,143700
21-12-2004,77.800003,78.199997,77.730003,78.07,60.294949,124900
22-12-2004,78.019997,79.169998,78.019997,78.860001,60.905102,224400
23-12-2004,78.949997,79.25,78.889999,79.089996,61.082714,118900
27-12-2004,79.709999,80.330002,79.709999,80.150002,61.90139,182600
28-12-2004,80.150002,80.470001,80.019997,80.349998,62.055851,123500
29-12-2004,80.120003,80.120003,79.540001,79.830002,61.654259,80200
30-12-2004,80.449997,80.910004,80.279999,80.650002,62.287552,96900
31-12-2004,80.849998,81.870003,80.849998,81.870003,63.229767,137200
03-01-2005,82.099998,82.269997,81.169998,81.379997,62.851337,245900
04-01-2005,81.199997,82,79.550003,80.07,61.839592,335500
05-01-2005,79.75,80.160004,79.349998,79.870003,61.685139,207000
06-01-2005,80.470001,80.730003,80.150002,80.32,62.032665,191300
07-01-2005,79.949997,80.150002,79.400002,79.440002,61.353035,163700
10-01-2005,80.050003,80.360001,79.599998,79.959999,61.754646,206100
11-01-2005,80.599998,81.209999,80.32,80.82,62.418839,182700
